dataset,version,variable,units,scene,bbox,resolution_deg,first_date,last_date,n_days,gaps,status,s3_zarr
cfs,operational-analysis,tmp2m,K,bolivia,"-71.0,-24.0,-56.0,-9.0",0.204,2011-04-01,2025-04-30,5083,0,parcial,s3://suyana-tiles/cfs/operational-analysis/bolivia.zarr
cfs,operational-analysis,u10m,m s-1,bolivia,"-71.0,-24.0,-56.0,-9.0",0.204,2011-04-01,2026-03-31,4991,62,parcial,s3://suyana-tiles/cfs/operational-analysis/bolivia.zarr
cfs,operational-analysis,v10m,m s-1,bolivia,"-71.0,-24.0,-56.0,-9.0",0.204,2011-04-01,2026-03-31,5022,31,parcial,s3://suyana-tiles/cfs/operational-analysis/bolivia.zarr
chirps,v2.0,precip,mm/day,mexico_norte,"-122.0,20.0,-96.0,35.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/mexico_norte.zarr
chirps,v2.0,precip,mm/day,mexico_sur,"-107.0,13.0,-84.0,23.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/mexico_sur.zarr
chirps,v2.0,precip,mm/day,centroamerica,"-95.0,4.0,-76.0,19.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/centroamerica.zarr
chirps,v2.0,precip,mm/day,antillas_mayores,"-86.0,15.0,-63.0,28.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/antillas_mayores.zarr
chirps,v2.0,precip,mm/day,antillas_menores,"-66.0,8.0,-56.0,20.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/antillas_menores.zarr
chirps,v2.0,precip,mm/day,colombia,"-84.0,-5.0,-66.0,15.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/colombia.zarr
chirps,v2.0,precip,mm/day,venezuela,"-74.0,0.0,-58.0,14.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/venezuela.zarr
chirps,v2.0,precip,mm/day,guayanas,"-62.0,1.0,-48.0,10.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/guayanas.zarr
chirps,v2.0,precip,mm/day,ecuador_galapagos,"-95.0,-6.0,-74.0,3.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/ecuador_galapagos.zarr
chirps,v2.0,precip,mm/day,peru,"-90.0,-20.0,-68.0,1.0",0.05,1981-01-01,2026-07-05,16622,0,completo,s3://suyana-tiles/chirps/v2.0/peru.zarr
chirps,v2.0,precip,mm/day,bolivia,"-71.0,-24.0,-56.0,-9.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/bolivia.zarr
chirps,v2.0,precip,mm/day,brasil_amazonia,"-74.0,-14.0,-49.0,6.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/brasil_amazonia.zarr
chirps,v2.0,precip,mm/day,brasil_nordeste,"-49.0,-18.0,-32.0,0.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/brasil_nordeste.zarr
chirps,v2.0,precip,mm/day,brasil_centro_sudeste,"-62.0,-26.0,-38.0,-14.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/brasil_centro_sudeste.zarr
chirps,v2.0,precip,mm/day,brasil_sur,"-58.0,-34.0,-46.0,-22.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/brasil_sur.zarr
chirps,v2.0,precip,mm/day,paraguay,"-64.0,-28.0,-53.0,-18.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/paraguay.zarr
chirps,v2.0,precip,mm/day,uruguay,"-60.0,-38.0,-50.0,-29.0",0.05,1981-01-01,2026-07-05,16622,0,completo,s3://suyana-tiles/chirps/v2.0/uruguay.zarr
chirps,v2.0,precip,mm/day,chile_norte_centro,"-77.0,-40.0,-66.0,-17.0",0.05,1981-01-01,2026-06-05,16592,0,completo,s3://suyana-tiles/chirps/v2.0/chile_norte_centro.zarr
chirps,v2.0,precip,mm/day,argentina_norte,"-70.0,-43.0,-52.0,-21.0",0.05,1981-01-01,2026-07-05,16622,0,completo,s3://suyana-tiles/chirps/v2.0/argentina_norte.zarr
chirps,v2.0,precip,mm/day,patagonia,"-77.0,-57.0,-56.0,-40.0",0.05,1981-01-01,2026-07-05,16622,0,completo,s3://suyana-tiles/chirps/v2.0/patagonia.zarr
chirps-v3,v3.0,precip_rnl,mm/day,mexico_norte,"-122.0,20.0,-96.0,35.0",0.05,1981-01-01,1992-12-31,4383,0,parcial,s3://suyana-tiles/chirps/v3.0/mexico_norte.zarr
chirps-v3,v3.0,precip_rnl,mm/day,mexico_sur,"-107.0,13.0,-84.0,23.0",0.05,1981-01-01,1992-12-31,4383,0,parcial,s3://suyana-tiles/chirps/v3.0/mexico_sur.zarr
chirps-v3,v3.0,precip_rnl,mm/day,centroamerica,"-95.0,4.0,-76.0,19.0",0.05,1981-01-01,1992-12-31,4383,0,parcial,s3://suyana-tiles/chirps/v3.0/centroamerica.zarr
chirps-v3,v3.0,precip_rnl,mm/day,antillas_mayores,"-86.0,15.0,-63.0,28.0",0.05,1981-01-01,1992-12-31,4383,0,parcial,s3://suyana-tiles/chirps/v3.0/antillas_mayores.zarr
chirps-v3,v3.0,precip_rnl,mm/day,antillas_menores,"-66.0,8.0,-56.0,20.0",0.05,1981-01-01,1992-12-31,4383,0,parcial,s3://suyana-tiles/chirps/v3.0/antillas_menores.zarr
chirps-v3,v3.0,precip_rnl,mm/day,colombia,"-84.0,-5.0,-66.0,15.0",0.05,1981-01-01,1992-12-31,4383,0,parcial,s3://suyana-tiles/chirps/v3.0/colombia.zarr
chirps-v3,v3.0,precip_rnl,mm/day,venezuela,"-74.0,0.0,-58.0,14.0",0.05,1981-01-01,1992-12-31,4383,0,parcial,s3://suyana-tiles/chirps/v3.0/venezuela.zarr
chirps-v3,v3.0,precip_rnl,mm/day,guayanas,"-62.0,1.0,-48.0,10.0",0.05,1981-01-01,1992-12-31,4383,0,parcial,s3://suyana-tiles/chirps/v3.0/guayanas.zarr
chirps-v3,v3.0,precip_rnl,mm/day,ecuador_galapagos,"-95.0,-6.0,-74.0,3.0",0.05,1981-01-01,1992-12-31,4383,0,parcial,s3://suyana-tiles/chirps/v3.0/ecuador_galapagos.zarr
chirps-v3,v3.0,precip_rnl,mm/day,peru,"-90.0,-20.0,-68.0,1.0",0.05,1981-01-01,2020-01-02,4384,9862,parcial,s3://suyana-tiles/chirps/v3.0/peru.zarr
chirps-v3,v3.0,precip_sat,mm/day,peru,"-90.0,-20.0,-68.0,1.0",0.05,2020-01-01,2020-01-02,2,0,parcial,s3://suyana-tiles/chirps/v3.0/peru.zarr
chirps-v3,v3.0,precip_rnl,mm/day,bolivia,"-71.0,-24.0,-56.0,-9.0",0.05,1981-01-01,1992-12-31,4383,0,parcial,s3://suyana-tiles/chirps/v3.0/bolivia.zarr
chirps-v3,v3.0,precip_rnl,mm/day,brasil_amazonia,"-74.0,-14.0,-49.0,6.0",0.05,1981-01-01,1992-12-31,4383,0,parcial,s3://suyana-tiles/chirps/v3.0/brasil_amazonia.zarr
chirps-v3,v3.0,precip_rnl,mm/day,brasil_nordeste,"-49.0,-18.0,-32.0,0.0",0.05,1981-01-01,1992-11-26,4348,0,parcial,s3://suyana-tiles/chirps/v3.0/brasil_nordeste.zarr
chirps-v3,v3.0,precip_rnl,mm/day,brasil_centro_sudeste,"-62.0,-26.0,-38.0,-14.0",0.05,1981-01-01,1991-12-31,4017,0,parcial,s3://suyana-tiles/chirps/v3.0/brasil_centro_sudeste.zarr
chirps-v3,v3.0,precip_rnl,mm/day,brasil_sur,"-58.0,-34.0,-46.0,-22.0",0.05,1981-01-01,1991-12-31,4017,0,parcial,s3://suyana-tiles/chirps/v3.0/brasil_sur.zarr
